book_title,book_author,book_detail_page,book_description,book_categories,book_likes,update_dt
100 Plus,Sonia Arrison,/books/100-plus,"Humanity is on the cusp of an exciting longevity revolution. The first person to live to 150 years has probably already been born. What will your life look like when you live to be over 100? Will the world become overpopulated? How will living longer affect your finances, your family life, and your views on religion and the afterlife? In 100 Plus, futurist Sonia Arrison brings together over a decade of experience researching and writing about cutting-edge advances in science and technology to paint a vivid picture of a future that only recently seemed like science fiction, but is now very real. The first book to give readers a comprehensive understanding of how life-extending discoveries will change our social and economic worlds, 100 Plus is an illuminating and indispensable text that will help us navigate the thrilling journey of life beyond 100 years.","['non-fiction', 'science & nature', 'technology', 'economics & politics']",1,2023-12-22 00:00:00
100 Secrets of the Art World,Thomas Girst,/books/100-secrets-of-the-art-world,"What do major artists consider their best-kept secret? What is regarded as confidential knowledge among the key players of the global art market? In 100 Secrets of the Art World, the most powerful international individuals share their insights.Edited by Thomas Girst and Magnus Resch (author of the bestselling Management of Art Galleries), this indispensable and fun guide to contemporary art contains exclusive anecdotes, advice and personal stories from artists, museum directors, gallerists, auction house insiders, collectors and many more. Contributors include Jeff Koons, Zaha Hadid, Marina Abramovic, Ãlafur ElÃ­asson and John Baldessari, as well as directors and curators from the Centre Pompidou, the Guggenheim, The Metropolitan Museum of Art, The Museum of Modern Art, Tate Modern, the Nationalgalerie and elsewhere, including Philip Tinari, Hans Neuendorf, Matthew Slotover, Hans Ulrich Obrist, Daniel Birnbaum, Klaus Biesenbach, Jeffrey Deitch, Larry Gagosian, Alexandra Munroe and others.Thoughtful and often critical entries make this informative publication an entertaining read for anyone interested in contemporary art.Thomas Girst is an art historian and the worldwide Head of Cultural Engagement at the BMW Group. His most recent publications include The Duchamp Dictionary (2014) and Art, Literature, and the Japanese American Internment (2015).Magnus Resch is an author, art entrepreneur and lecturer. His most recent publications include the Art Collector Report (2015) and the bestseller Management of Art Galleries (2015).","['non-fiction', 'arts & entertainment', 'design']",1,2023-12-22 00:00:00
100 Side Hustles,Chris Guillebeau,/books/100-side-hustles,"Best-selling author Chris Guillebeau presents a full-color ideabook featuring 100 stories of regular people launching successful side businesses that almost anyone can do.Chris Guillebeau, self-employment guru, author of The $100 Startup, and creator of the popular Side Hustle School podcast, presents a collection of the top hundred side-gig case studies from both his podcast and his personal files, featuring jewelry makers, website founders, food truck bakers, and more. With inspiring anecdotes alongside bullet-point takeaways, this playbook will not only inspire you to follow in these innovators' entrepreneurial footsteps but also achieve similar business success. From identifying underserved markets to crafting unique products and services that spring from your passions, you'll soon be making money on the side while living your best life.","['non-fiction', 'business & management', 'technology', 'self improvement', 'money & investing']",1,2023-12-22 00:00:00
100 Things Every Designer Needs to Know About People,Susan Weinschenk,/books/100-things-every-designer-needs-to-know-about-people,"We design to elicit responses from people. We want them to buy something, read more, or take action of some kind. Designing without understanding what makes people act the way they do is like exploring a new city without a map: results will be haphazard, confusing, and inefficient. This book combines real science and research with practical examples to deliver a guide every designer needs. With it you'll be able to design more intuitive and engaging work for print, websites, applications, and products that matches the way people think, work, and play.Learn to increase the effectiveness, conversion rates, and usability of your own design projects by finding the answers to questions such as:What grabs and holds attention on a page or screen?What makes memories stick?What is more important, peripheral or central vision?How can you predict the types of errors that people will make?What is the limit to someone's social circle?How do you motivate people to continue on to (the next step?What line length for text is best?Are some fonts better than others?These are just a few of the questions that the book answers in its deep-dive exploration of what makes people tick.","['non-fiction', 'design', 'psychology', 'business & management']",3,2023-12-22 00:00:00
100 Tricks to Appear Smart in Meetings,Sarah Cooper,/books/100-tricks-to-appear-smart-in-meetings,"Funny because it's true. Â From the creator of the viral sensation ""10 Tricks to Appear Smart in Meetings"" (5+ million views and hundreds of thousands of shares) comes the must-have book you never knew you needed, 100 Tricks to Appear Smart in Meetings. Â In it, you will learn how to appear smart in less than half the time it takes to actually learn anything.You know those subtle tricks your coworkers are all guilty of? The constant nodding, pretend concentration, useless rhetorical questions? These tricks make them seem like they know what theyâre doing when in fact they have no clue. This behavior is so ingrained, so subtle, and so often mistaken for true intelligence that identifying it, calling it out, or compiling it into an exhaustive digest has never been attempted. Until now.Complete with illustrated tips, examples, and scenarios, 100 Tricks gives you actionable ways to use words like âactionable,â in order to sound smart. Every type of meeting is covered, from general meetings where you stopped paying attention almost immediately, to one-on-one meetings you zoned out on, to impromptu meetings you were painfully subjected to at the last minute. Itâs all here.","['non-fiction', 'business & management', 'self improvement']",2,2022-01-12 00:00:00
100 days of solitude,Daphne Kapsali,/books/100-days-of-solitude,"A personal journey that inadvertently became an accidental self-help guide to doing what you love and living as your true self, whoever that might turn out to be, 100 days of solitude is inspiring thousands of people to claim the time and space they need to find themselves and live their best lives. This is not one of those 100 day challenges, nor is it about hardship and isolation and going off the grid; if anything, it's the opposite of that. In giving up her life in London to spend 100 days living alone on a small Greek island, Daphne was searching for a better way to live, and for deeper connections with her true self and those around her. The things she gave up turned out to mean very little, and most of the challenges she faced came from within, from her own preconceptions and the Antagonist that we all carry around in our heads.Part memoir, part fiction, part philosophy and part travel writing, Â 100 days of solitude is a collection of one hundred stories, all of them connected and each one self-contained. One hundred essays on choosing uncertainty over security, change over convenience, seeing things for what they truly are, and being surprised by yourself; on love, loss, death and donkeys; on reaching for your dreams, finding enlightenment on a rural road, peeing in public, and locking yourself out of the house; on dangerous herbs, friendly farmers, flying Bentleys and existential cats; and on what it feels like to live in a small, isolated island community through the autumn and winter, to live as a writer who actually writes, and to live as your true, authentic self, no matter who that turns out to be. And to write your own story, the way you want it told; to find your voice, and the courage to let it be heard.","['non-fiction', 'biographies & memoirs']",1,2023-11-21 00:00:00
11 Rules for Creating Value in the Social Era,Nilofer Merchant,/books/11-rules-for-creating-value-in-the-social-era,"The era of social technologies provides seemingly endless opportunity, both for individuals and organizations. But it's also the subject of seemingly endless hype. Yes, social tools allow us to do things entirely differently--but how do you really capitalize on that?In ""11 Rules for Creating Value in the Social Era,"" the newest in Harvard Business Review's line of digital books (HBR Singles), social strategist and insightful blogger Nilofer Merchant argues that ""social"" is much more than ""media."" Smart companies are letting social become the backbone of their business models, increasing their speed and flexibility by pursuing openness and fluidity. These organizations don't operate like the powerful ""800-pound gorillas"" of yesteryear--but instead act more like a herd of 800 gazelles, moving together across a savannah, outrunning the competition.This ebook offers new rules for creating value, leading, and innovating in our rapidly changing world. These social era rules are both provocative and grounded in reality--they cover thorny challenges like forsaking hierarchy and control for collaboration; getting the most out of all talent; allowing your customers to become co-creators in your organization; inspiring employees through purpose in a world where money alone no longer wields that power; and soliciting community investment in an idea so that it can take hold and grow.The strategies of the Industrial Era--or even the Information Age--will not be enough for the Social Era. Read ""11 Rules for Creating Value in the Social Era"" to get ready to meet the challenges of this new age and thrive","['non-fiction', 'business & management', 'technology']",1,2022-01-12 00:00:00
11/22/63,Stephen King,/books/11-22-63,"Life can turn on a dimeâor stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in Lisbon Falls, Maine. While grading essays by his GED students, Jake reads a gruesome, enthralling piece penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his fatherâs sledgehammer slaughter of his entire family. Jake is blown away...but an even more bizarre secret comes to light when Jakeâs friend Al, owner of the local diner, enlists Jake to take over the mission that has become his obsessionâto prevent the Kennedy assassination. How? By stepping through a portal in the dinerâs storeroom, and into the era of Ike and Elvis, of big American cars, sock hops, and cigarette smoke... Finding himself in warmhearted Jodie, Texas, Jake begins a new life. But all turns in the road lead to a troubled loner named Lee Harvey Oswald. The course of history is about to be rewritten...and become heart-stoppingly suspenseful.",['fiction'],1,2022-01-12 00:00:00
12 Rules for Life,Jordan Peterson,/books/12-rules-for-life,"What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.Humorous, surprising and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street.What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant and vengeful? Dr. Peterson journeys broadly, discussing discipline, freedom, adventure and responsibility, distilling the world's wisdom into 12 practical and profound rules for life.â12 Rules for Life shatters the modern commonplaces of science, faith and human nature, while transforming and ennobling the mind and spirit of its readers.","['non-fiction', 'philosophy', 'self improvement', 'science & nature', 'psychology']",14,2023-12-22 00:00:00
120 Days of Sodom,Marquis de Sade,/books/120-days-of-sodom,"The 120 Days of Sodom by Marquis de Sade relates the story of four wealthy men who enslave 24 mostly teenaged victims and sexually torture them while listening to stories told by old prostitutes. The book was written while Sade was imprisoned in the Bastille and the manuscript was lost during the storming of the Bastille. Sade wrote that he ""wept tears of blood"" over the manuscript's loss. Many consider this to be Sade crowning achievement.",['fiction'],1,2023-12-22 00:00:00
13 Secrets for Speaking Fluent Japanese,Giles Murray,/books/13-secrets-for-speaking-fluent-japanese,"13 Secrets for Speaking Fluent Japanese presents tested shortcuts for Japanese language acquisition. Identifying two groups of people who actively and effectively study Japanese to the point of fluency --successful non-native learners and Japanese children --Giles Murray has collected from both groups the most rewarding and universal techniques which can be put to immediate use by both beginner and advanced students of Japanese.This book is designed for people who have tried orthodox textbooks and failed, people who know a little Japanese but don't have the necessary time or motivation to make the transition to more serious textbooks, and people seeking to increase fluency using ability already acquired. It introduces new strategies for thinking, speaking and memorizing Japanese quickly, efficiently and independently. Used in tandem with a mainstream textbook, these strategies will enable any student to apply what they have learned in the classroom to real-life situations, and to speak without hesitation in natural and fluent Japanese.With lively and entertaining commentaries, striking illustrations, two Japanese manga --including a six-page extract from Osamu Tezuka's famous Blackjack series--brainteasing puzzles, and genuinely useful example sentences, 13 Secrets offers a unique and exciting alternative to all students of Japanese.",['non-fiction'],1,2023-12-22 00:00:00
13 Things That Don't Make Sense,Michael Brooks,/books/13-things-that-dont-make-sense,"Spanning disciplines from biology to cosmology, chemistry to psychology to physics, Michael Brooks thrillingly captures the excitement of scientific discovery. Scienceâs best-kept secret is this: even today, there are experimental results that the most brilliant scientists cannot explain. In the past, similar âanomaliesâ have revolutionized our world. If history is any precedent, we should look to todayâs inexplicable results to forecast the future of science. Michael Brooks heads to the scientific frontier to confront thirteen modern-day anomalies and what they might reveal about tomorrowâs breakthroughs.","['non-fiction', 'science & nature']",1,2023-12-22 00:00:00
1421,Gavin Menzies,/books/1421,"On 3/8/1421, the largest fleet the world had ever seen set sail from China. Its mission was ""to proceed all the way to the ends of the earth to collect tribute from the barbarians beyond the seas"" & unite the whole world in Confucian harmony. When it returned in 10/1423, the emperor had fallen, leaving China in political & economic chaos. The great ships were left to rot at their moorings. Most records of their journeys were destroyed. Lost in China's long, self-imposed isolation that followed was the knowledge that Chinese ships had reached America 70 years before Columbus & had circumnavigated the globe a century before Magellan. Also concealed was how the Chinese colonized America before the Europeans & transplanted in America & other countries the principal economic crops that have fed & clothed the world.Unveiling incontrovertible evidence of these astonishing voyages, ""1421"" rewrites our understanding of history. Our knowledge of world exploration as it's been commonly accepted for centuries must now be reconceived due to this landmark work of historical investigation.","['non-fiction', 'history']",2,2023-12-22 00:00:00
1491,Charles C. Mann,/books/1491,"In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called manâs first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew.","['non-fiction', 'history', 'science & nature']",1,2023-12-22 00:00:00
18 Platoon,Sydney Jary,/books/18-platoon,"Sydney Jary MC (24 May 1924 - 5 August 2019) was a British Army officer who was a platoon commander during WW2. He was awarded a Military Cross and, after the war, wrote a book about his experiences that became a recommended text on several military academy reading lists including that of the Royal Military Academy Sandhurst.","['non-fiction', 'history']",1,2023-12-22 00:00:00
1939: The Lost World of the Fair,David Gelernter,/books/1939-the-lost-world-of-the-fair,"Yesterdayâs World of Tomorrow.In a narrow corridor of time between the Great Depression and the most destructive war in history, a Worldâs Fair was held in the city of New York. It was an event that transformed an entire generation with its vision of things to come. Millions of people came from every corner of the globe to gaze in awe at the Trylon and Perisphere, and to experience for an afternoon a thrilling yet humane utopia in which every citizen lived âthe good lifeâ that art, science, technology, and moral fervor had created. In 1939, David Gelernter gives us an intensely evocative picture of the World's Fair â and of a fleeting era of innocent expectation when the world looked forward in wonder rather than backward with regret.",['history'],1,2023-12-22 00:00:00
1944,Jay Winik,/books/1944,"Jay Winik brings to life in âgrippingâ detail (The New York Times Book Review) the year 1944, which determined the outcome of World War II and put more pressure than any other on an ailing yet determined President Roosevelt.1944 was a year that could have stymied the Allies and cemented Hitlerâs waning power. Instead, it saved those democraciesâbut with a fateful cost. Now, in a âcomplex history rendered with great color and sympathyâ (Kirkus Reviews, starred review), Jay Winik captures the epic images and extraordinary history âwith cinematic forceâ (Time).1944 witnessed a series of titanic events: FDR at the pinnacle of his wartime leadership as well as his reelection, the unprecedented D-Day invasion, the liberation of Paris, and the tumultuous conferences that finally shaped the coming peace. But millions of lives were at stake as President Roosevelt learned about Hitlerâs Final Solution. Just as the Allies were landing in Normandy, the Nazis were accelerating the killing of millions of European Jews. Winik shows how escalating pressures fell on an infirm Roosevelt, who faced a momentous decision. Was winning the war the best way to rescue the Jews? Or would it get in the way of defeating Hitler? In a year when even the most audacious undertakings were within the worldâs reach, one challengeâsaving Europeâs Jewsâseemed to remain beyond Rooseveltâs grasp.âCompellingâ¦.This dramatic account highlights what too often has been glossed overâthat as nobly as the Greatest Generation fought under FDRâs command, America could well have done more to thwart Nazi aggressionâ (The Boston Globe). Destined to take its place as one of the great works of World War II, 1944 is the first book to retell these events with moral clarity and a moving appreciation of the extraordinary actions of many extraordinary leaders.","['non-fiction', 'history']",1,2023-12-22 00:00:00
1984,George Orwell,/books/1984,"Written more than 70 years ago, 1984 was George Orwellâs chilling prophecy about the future. And while 1984 has come and gone, his dystopian vision of a government that will do anything to control the narrative is timelier than ever...âThe Party told you to reject the evidence of your eyes and ears. It was their final, most essential command.âWinston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston canât escape the fact that Big Brother is always watching...A startling and haunting novel, 1984 creates an imaginary world that is completely convincing from start to finish. No one can deny the novelâs hold on the imaginations of whole generations, or the power of its admonitionsâa power that seems to grow, not lessen, with the passage of time.","['fiction', 'economics & politics']",18,2023-12-22 00:00:00
2001,Arthur C. Clarke,/books/2001,"On the Moon, an enigma is uncovered.So great are the implications of this discovery that for the first time men are sent out deep into our solar system.But long before their destination is reached, things begin to go horribly, inexplicably wrong...One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",['fiction'],2,2023-12-22 00:00:00
20th-Century Type,Lewis Blackwell,/books/twentieth-century-type,"An updated and expanded edition of a classic book on 20th-century graphic design.âTwentieth-Century Type surveysthe significant issues that have shaped the history and evolution of typography and graphic design, showing how current typographic trends are part of a continuously changing movement that can be plotted through the decades. Generously illustrated with over three hundred examplesâmore than two hundred of which are in colorâthe book charts significant topics including the arrival of mass-production; the birth of the art director; the appearance of the grid (and its subsequent rejection); the coming of non-print media; and the launch of the Macintosh computer and its ushering in of a new generation of designers enfranchised by digital technology.This revised edition of a fundamental work brings the story up to date with new text and images covering type on screen and, in particular, type for the internet. Combining an assessment of the culture of experimentation in contemporary typographic design alongside a clear presentation of the fieldâs historical context, the book is an informed and accessible source for all students of design and for designers needing an expert overview of typography.","['non-fiction', 'design', 'arts & entertainment']",1,2020-03-31 00:00:00
